Home_Team,Away_Team,Home_win,Draw,Away_win
Ulsan,Suwon Bluewings,1.69,3.60,4.95
FC Seoul,Gangwon,3.00,3.55,2.20
Suwon Bluewings,Daegu,3.35,3.25,2.15
Busan I'Park,Ulsan,5.30,3.95,1.57
Gangwon,Sangju Sangmu,2.25,3.30,3.05
Incheon United,Gwangju,2.70,3.00,2.70
Seongnam,FC Seoul,2.30,3.05,3.20
Jeonbuk Motors,Pohang Steelers,1.74,3.70,4.25
Daegu,Busan I'Park,1.95,3.45,3.60
Pohang Steelers,Incheon United,1.37,4.70,7.25
Jeonbuk Motors,FC Seoul,1.32,5.25,8.25
Gwangju,Suwon Bluewings,3.00,3.05,2.40
Sangju Sangmu,Ulsan,4.30,3.45,1.80
Seongnam,Gangwon,3.60,3.20,2.05
Incheon United,Jeonbuk Motors,8.25,4.50,1.36
Suwon Bluewings,Seongnam,2.00,3.10,3.95
Ulsan,Gangwon,1.62,4.15,4.55
FC Seoul,Pohang Steelers,3.55,3.40,2.00
Sangju Sangmu,Daegu,2.95,3.10,2.40
Busan I'Park,Gwangju,2.00,3.40,3.55
Daegu,Ulsan,3.00,3.45,2.20
Gangwon,Gwangju,2.00,3.35,3.55
Pohang Steelers,Suwon Bluewings,1.91,3.45,3.90
Jeonbuk Motors,Seongnam,1.41,4.15,7.75
Incheon United,Sangju Sangmu,4.30,3.05,1.95
Busan I'Park,FC Seoul,2.30,3.45,2.85
Gwangju,Daegu,3.95,3.35,1.91
Seongnam,Pohang Steelers,4.95,3.30,1.77
Sangju Sangmu,Jeonbuk Motors,5.40,3.70,1.62
Suwon Bluewings,FC Seoul,2.40,3.00,3.10
Gangwon,Busan I'Park,2.25,3.40,2.95
Ulsan,Incheon United,1.33,4.75,9.00
Suwon Bluewings,Sangju Sangmu,2.35,2.85,3.35
Ulsan,Jeonbuk Motors,2.75,3.20,2.50
Daegu,Gangwon,1.83,3.45,4.15
Busan I'Park,Seongnam,2.50,2.85,3.05
FC Seoul,Incheon United,1.95,3.10,4.15
Gwangju,Pohang Steelers,3.70,3.50,1.95
Daegu,Suwon Bluewings,2.15,3.05,3.55
Jeonbuk Motors,Gwangju,1.40,4.40,7.25
Incheon United,Busan I'Park,3.05,3.05,2.40
FC Seoul,Ulsan,5.00,3.65,1.67
Seongnam,Sangju Sangmu,2.40,2.90,3.20
Pohang Steelers,Gangwon,2.25,3.30,3.05
Busan I'Park,Daegu,3.90,3.50,1.87
Sangju Sangmu,FC Seoul,2.50,3.25,2.70
Gwangju,Incheon United,2.10,3.10,3.65
Seongnam,Suwon Bluewings,2.70,2.75,2.90
Pohang Steelers,Jeonbuk Motors,3.70,3.45,1.95
Gangwon,Ulsan,3.50,3.40,2.00
Gwangju,Busan I'Park,2.65,3.00,2.75
Daegu,FC Seoul,2.10,3.00,3.75
Sangju Sangmu,Pohang Steelers,3.25,3.25,2.15
Suwon Bluewings,Gangwon,2.50,3.15,2.80
Jeonbuk Motors,Incheon United,1.20,6.20,12.25
Ulsan,Seongnam,1.57,3.80,5.65
Seongnam,Daegu,2.90,2.90,2.60
Suwon Bluewings,Gwangju,1.87,3.50,4.00
Busan I'Park,Sangju Sangmu,2.30,3.20,3.10
Pohang Steelers,Ulsan,2.80,3.20,2.45
FC Seoul,Jeonbuk Motors,4.60,3.45,1.77
Incheon United,Gangwon,3.95,3.25,2.05
Incheon United,Pohang Steelers,4.10,3.40,1.87
FC Seoul,Seongnam,2.25,3.15,3.20
Gwangju,Ulsan,5.55,3.60,1.62
Busan I'Park,Suwon Bluewings,2.95,3.15,2.40
Gangwon,Jeonbuk Motors,4.95,3.85,1.62
Daegu,Sangju Sangmu,2.10,3.00,3.80
Ulsan,Busan I'Park,1.48,4.05,6.50
Jeonbuk Motors,Daegu,1.74,3.55,4.55
Sangju Sangmu,Gwangju,2.25,3.10,3.20
Gangwon,Seongnam,1.91,3.40,3.85
Suwon Bluewings,Incheon United,1.74,3.65,4.50
Pohang Steelers,FC Seoul,2.10,3.30,3.35
Seongnam,Incheon United,2.20,2.95,3.55
FC Seoul,Gwangju,2.15,3.15,3.40
Suwon Bluewings,Ulsan,4.15,3.60,1.80
Busan I'Park,Jeonbuk Motors,5.40,4.00,1.56
Daegu,Pohang Steelers,2.45,3.00,3.00
Sangju Sangmu,Gangwon,3.30,3.50,2.05
Gangwon,FC Seoul,2.70,3.15,2.55
Pohang Steelers,Busan I'Park,2.05,3.20,3.60
Gwangju,Seongnam,2.30,3.30,2.95
Incheon United,Daegu,2.90,3.40,2.30
Ulsan,Sangju Sangmu,1.62,3.95,4.85
Jeonbuk Motors,Suwon Bluewings,1.65,3.85,4.90
