Home_Team,Away_Team,Home_win,Draw,Away_win
Pohang Steelers,Sangju Sangmu,1.80,3.95,3.90
Jeonbuk Motors,Daegu,1.57,4.15,5.25
Ulsan,Gwangju,1.32,5.50,7.75
Seongnam,Busan I'Park,2.25,3.00,3.35
Gangwon,Suwon Bluewings,2.85,3.40,2.35
FC Seoul,Incheon United,2.90,3.35,2.35
Ulsan,Jeonbuk Motors,2.70,3.70,2.30
Daegu,Pohang Steelers,2.70,3.40,2.30
Gwangju,Sangju Sangmu,2.60,3.30,2.40
Incheon United,Busan I'Park,2.45,3.15,2.90
FC Seoul,Gangwon,2.75,3.15,2.50
Suwon Bluewings,Seongnam,2.20,3.05,3.40
Pohang Steelers,Ulsan,2.85,3.55,2.25
Jeonbuk Motors,Gwangju,1.39,4.65,6.90
Busan I'Park,Suwon Bluewings,2.80,3.00,2.40
Seongnam,FC Seoul,2.90,2.95,2.55
Sangju Sangmu,Daegu,3.45,3.30,2.10
Gangwon,Incheon United,2.05,3.40,3.45
Incheon United,Suwon Bluewings,3.60,3.00,2.15
FC Seoul,Busan I'Park,2.35,3.25,2.95
Gangwon,Seongnam,2.10,3.35,3.40
Jeonbuk Motors,Pohang Steelers,1.80,3.80,3.90
Gwangju,Daegu,3.60,3.65,1.91
Ulsan,Sangju Sangmu,1.43,4.50,6.40
Pohang Steelers,Gwangju,1.95,3.70,3.45
Sangju Sangmu,Jeonbuk Motors,4.65,3.65,1.71
Daegu,Ulsan,3.70,3.55,1.91
Seongnam,Incheon United,2.10,3.20,3.45
Busan I'Park,Gangwon,2.85,3.35,2.35
Suwon Bluewings,FC Seoul,2.05,3.25,3.60
Incheon United,Ulsan,6.90,4.00,1.47
Seongnam,Gwangju,2.70,2.85,2.85
Gangwon,Suwon Bluewings,2.40,3.30,2.80
Jeonbuk Motors,Busan I'Park,1.35,4.95,7.50
Pohang Steelers,Sangju Sangmu,1.87,3.60,3.90
FC Seoul,Daegu,3.80,3.40,1.95
Daegu,Seongnam,2.00,3.15,3.85
Suwon Bluewings,Pohang Steelers,3.40,3.50,2.00
Incheon United,FC Seoul,2.95,3.00,2.50
Busan I'Park,Gangwon,2.65,3.35,2.50
Gwangju,Sangju Sangmu,2.25,3.15,3.15
Jeonbuk Motors,Ulsan,2.30,3.50,2.80
Busan I'Park,Incheon United,2.25,3.30,3.10
Gangwon,Pohang Steelers,3.20,3.65,2.05
FC Seoul,Suwon Bluewings,2.85,3.10,2.50
Sangju Sangmu,Seongnam,2.50,3.00,2.90
Ulsan,Daegu,1.65,4.05,4.60
Gwangju,Jeonbuk Motors,5.40,4.00,1.57
Ulsan,Gwangju,1.50,4.10,6.00
Gangwon,Incheon United,1.71,3.70,4.60
Pohang Steelers,Daegu,2.10,3.50,3.20
FC Seoul,Busan I'Park,2.45,3.15,2.85
Seongnam,Jeonbuk Motors,6.35,3.90,1.51
Sangju Sangmu,Suwon Bluewings,2.50,3.00,2.90
Daegu,Gwangju,1.91,3.20,4.25
Pohang Steelers,Seongnam,1.80,3.45,4.25
Jeonbuk Motors,Gangwon,1.49,4.45,5.60
Ulsan,FC Seoul,1.38,4.95,6.70
Suwon Bluewings,Busan I'Park,2.30,3.15,3.05
Sangju Sangmu,Incheon United,1.95,3.35,3.75
Seongnam,Ulsan,5.20,3.65,1.65
Jeonbuk Motors,Sangju Sangmu,1.43,4.45,6.55
Gangwon,Daegu,2.95,3.45,2.20
Busan I'Park,Pohang Steelers,3.65,3.90,1.83
Gwangju,FC Seoul,2.40,3.20,2.85
Incheon United,Suwon Bluewings,3.70,3.05,2.10
Daegu,Incheon United,1.53,3.90,6.10
Gwangju,Gangwon,2.85,3.45,2.30
Suwon Bluewings,Jeonbuk Motors,5.55,3.75,1.59
FC Seoul,Sangju Sangmu,3.05,3.20,2.30
Ulsan,Pohang Steelers,1.91,3.60,3.65
Seongnam,Busan I'Park,2.60,2.90,2.90
Incheon United,Seongnam,3.35,2.95,2.30
Sangju Sangmu,Busan I'Park,2.20,3.30,3.10
Daegu,Jeonbuk Motors,4.50,3.95,1.67
Pohang Steelers,Gwangju,1.69,3.75,4.55
