Home_Team,Away_Team,Home_win,Draw,Away_win
Suwon Bluewings,FC Seoul,3.40,3.40,2.06
Suwon Bluewings,Incheon United,2.90,3.30,2.33
FC Seoul,Pohang Steelers,2.49,3.20,2.70
Gangwon,Jeonbuk Motors,3.40,3.30,2.09
Daejeon Citizen,Gwangju,2.51,3.44,2.72
Ulsan,Jeju United,1.67,4.10,4.74
Daegu,Suwon,2.10,3.56,3.36
Incheon United,FC Seoul,2.47,3.40,2.63
Gangwon,Daejeon Citizen,2.35,3.35,2.80
Gwangju,Suwon Bluewings,1.89,3.45,3.80
Jeonbuk Motors,Daegu,1.83,3.55,4.00
Pohang Steelers,Jeju United,1.98,3.06,3.34
Suwon,Ulsan,4.08,3.55,1.66
Daegu,FC Seoul,2.94,3.30,2.19
Daejeon Citizen,Incheon United,2.67,3.20,2.43
Gwangju,Pohang Steelers,2.75,3.30,2.45
Jeju United,Gangwon,1.83,3.50,4.20
Suwon Bluewings,Suwon,1.78,2.97,4.75
Jeonbuk Motors,Ulsan,4.07,3.37,1.77
Pohang Steelers,Jeonbuk Motors,2.21,3.28,2.87
Ulsan,Daejeon Citizen,1.50,4.15,5.00
Suwon,Gwangju,3.05,3.40,2.14
FC Seoul,Gangwon,1.71,3.50,4.60
Daegu,Incheon United,2.55,3.10,2.61
Jeju United,Suwon Bluewings,1.99,3.30,3.40
Jeonbuk Motors,Suwon,1.71,3.94,4.66
Suwon Bluewings,Ulsan,4.42,3.74,1.78
Gangwon,Pohang Steelers,3.54,3.10,2.22
Daejeon Citizen,Daegu,2.10,3.05,3.25
FC Seoul,Jeju United,2.10,3.10,3.15
Incheon United,Gwangju,2.30,3.10,2.80
Suwon,Jeju United,2.60,3.60,2.36
Incheon United,Jeonbuk Motors,2.90,3.20,2.36
Ulsan,FC Seoul,1.83,3.70,3.80
Gangwon,Suwon Bluewings,2.20,3.10,3.30
Gwangju,Daegu,2.25,3.10,3.25
Pohang Steelers,Daejeon Citizen,1.75,3.30,5.00
Daejeon Citizen,Suwon,2.01,3.64,3.50
Suwon Bluewings,Jeonbuk Motors,3.18,3.40,2.23
Jeju United,Incheon United,2.15,3.42,3.34
FC Seoul,Gwangju,2.09,3.25,3.50
Daegu,Pohang Steelers,3.30,3.40,2.10
Ulsan,Gangwon,1.48,4.20,6.20
Gwangju,Daejeon Citizen,2.27,3.07,2.75
Suwon,Gangwon,2.43,3.27,2.92
Jeju United,Pohang Steelers,2.75,3.27,2.57
Incheon United,Suwon Bluewings,4.38,3.81,1.62
FC Seoul,Jeonbuk Motors,3.89,2.55,2.18
Daegu,Ulsan,6.16,2.94,1.65
Ulsan,Gwangju,1.61,3.70,4.90
Suwon Bluewings,Daegu,2.28,3.25,2.95
Pohang Steelers,Incheon United,1.85,3.30,4.10
Daejeon Citizen,Jeju United,2.30,3.45,2.80
Jeonbuk Motors,Gangwon,1.85,3.50,4.20
Suwon,FC Seoul,2.60,3.40,2.60
Suwon,Daegu,2.47,3.20,2.43
Jeonbuk Motors,Daejeon Citizen,1.79,3.40,3.60
Gangwon,FC Seoul,2.96,2.94,2.22
Gwangju,Jeju United,2.07,3.05,3.15
Incheon United,Ulsan,3.53,3.48,2.13
Pohang Steelers,Suwon Bluewings,1.95,3.52,4.22
Jeju United,Jeonbuk Motors,2.65,3.15,2.35
Gwangju,Gangwon,2.00,3.20,3.25
Incheon United,Suwon,1.95,3.35,3.70
Daegu,Daejeon Citizen,2.20,3.40,2.70
Ulsan,Pohang Steelers,1.97,3.35,3.55
FC Seoul,Suwon Bluewings,2.00,3.15,3.75
Daegu,Gwangju,2.14,3.40,3.15
Daejeon Citizen,Ulsan,4.30,3.60,1.73
Gangwon,Incheon United,2.60,3.15,2.60
Suwon,Jeonbuk Motors,4.22,3.75,1.72
Pohang Steelers,FC Seoul,2.16,3.20,3.10
Suwon Bluewings,Jeju United,2.64,3.10,2.51
Gangwon,Jeju United,1.67,5.41,3.07
Jeonbuk Motors,Incheon United,1.75,3.25,4.00
Suwon,Daejeon Citizen,2.90,3.15,2.14
Pohang Steelers,Gwangju,1.80,3.25,3.90
FC Seoul,Daegu,2.10,3.00,3.10
Ulsan,Suwon Bluewings,1.67,3.40,4.60
Suwon Bluewings,Gangwon,2.15,3.35,3.50
Jeju United,Ulsan,3.45,3.40,2.15
Daejeon Citizen,FC Seoul,2.85,3.30,2.48
Gwangju,Suwon,2.40,3.30,3.00
Incheon United,Daegu,2.40,3.28,3.02
Jeonbuk Motors,Pohang Steelers,2.25,3.40,3.17
Ulsan,Suwon,1.41,3.95,6.00
Suwon Bluewings,Daejeon Citizen,2.13,3.33,2.98
Daegu,Jeonbuk Motors,3.13,3.43,2.03
Jeju United,FC Seoul,2.29,3.00,2.78
Pohang Steelers,Gangwon,2.00,3.25,3.65
Gwangju,Incheon United,2.44,2.97,2.62
Incheon United,Jeju United,2.86,3.15,2.56
Jeonbuk Motors,Gwangju,1.62,3.30,4.80
FC Seoul,Ulsan,3.40,3.37,2.13
Gangwon,Daegu,2.46,3.26,3.08
