Home_Team,Away_Team,Home_win,Draw,Away_win
Jeju United,FC Seoul,2.13,3.43,3.76
Gangwon,Jeju United,3.30,3.20,2.20
Pohang Steelers,Sangju Sangmu,2.10,3.20,3.60
Ulsan,Seongnam,1.44,4.00,7.50
FC Seoul,Incheon United,1.87,3.50,4.00
Suwon,Suwon Bluewings,2.60,3.10,2.70
Jeonbuk Motors,Daegu,1.87,3.50,4.00
FC Seoul,Ulsan,3.25,3.20,2.10
Incheon United,Gangwon,1.91,3.20,3.80
Jeonbuk Motors,Suwon Bluewings,1.85,3.20,4.20
Suwon,Pohang Steelers,3.75,3.50,2.05
Daegu,Jeju United,2.89,3.29,2.65
Sangju Sangmu,Seongnam,1.90,3.52,4.58
Suwon Bluewings,FC Seoul,2.20,3.00,2.92
Ulsan,Jeonbuk Motors,2.38,3.02,2.63
Seongnam,Daegu,3.00,2.90,2.25
Jeju United,Incheon United,1.83,3.10,4.00
Pohang Steelers,Gangwon,1.76,3.20,4.10
Sangju Sangmu,Suwon,1.89,3.35,3.40
Daegu,Pohang Steelers,2.50,3.30,2.70
Gangwon,Suwon Bluewings,2.40,3.20,2.90
Incheon United,Seongnam,2.21,3.08,3.49
Jeonbuk Motors,Jeju United,2.13,3.34,3.70
Suwon,Ulsan,4.91,3.84,1.73
FC Seoul,Sangju Sangmu,2.32,3.19,3.39
Suwon,Jeonbuk Motors,3.66,3.47,2.09
Jeju United,Suwon Bluewings,1.78,3.50,4.30
Daegu,Gangwon,2.02,3.30,3.55
Sangju Sangmu,Ulsan,3.48,3.62,2.04
Pohang Steelers,Incheon United,2.06,3.25,3.90
FC Seoul,Seongnam,1.87,3.20,3.80
Gangwon,FC Seoul,3.05,3.25,2.25
Seongnam,Suwon,2.56,3.05,2.77
Ulsan,Jeju United,2.01,3.25,3.64
Pohang Steelers,Jeonbuk Motors,2.61,3.20,2.60
Incheon United,Daegu,2.30,3.10,3.10
Suwon Bluewings,Sangju Sangmu,2.63,3.00,2.70
FC Seoul,Pohang Steelers,2.60,3.10,2.90
Jeonbuk Motors,Gangwon,1.73,3.50,4.20
Suwon,Jeju United,2.70,3.30,2.35
Suwon Bluewings,Seongnam,2.10,3.00,3.70
Ulsan,Incheon United,1.75,3.30,5.00
Sangju Sangmu,Daegu,2.38,2.90,2.85
Pohang Steelers,Seongnam,2.20,3.00,3.50
Jeju United,Sangju Sangmu,2.38,3.10,3.10
FC Seoul,Suwon,2.10,3.40,3.62
Incheon United,Jeonbuk Motors,3.82,3.34,2.06
Daegu,Suwon Bluewings,2.36,3.28,3.22
Gangwon,Ulsan,4.12,3.54,1.92
Sangju Sangmu,Gangwon,2.55,3.00,2.55
Suwon,Incheon United,2.35,2.80,2.90
Suwon Bluewings,Ulsan,3.40,2.90,2.10
Pohang Steelers,Daegu,2.00,3.00,3.60
Seongnam,Jeju United,3.98,3.10,2.10
Jeonbuk Motors,FC Seoul,1.93,3.42,4.20
FC Seoul,Suwon Bluewings,2.38,3.00,3.20
Incheon United,Jeju United,3.00,2.97,2.30
Suwon,Sangju Sangmu,2.67,3.02,2.50
Gangwon,Pohang Steelers,3.23,3.03,2.15
Ulsan,Daegu,1.71,3.52,4.50
Seongnam,Jeonbuk Motors,4.40,3.27,1.79
Pohang Steelers,Suwon,2.05,3.13,3.75
FC Seoul,Gangwon,2.20,3.00,3.60
Seongnam,Sangju Sangmu,3.00,3.13,2.45
Daegu,Incheon United,2.02,3.00,3.55
Jeju United,Ulsan,3.10,3.00,2.20
Suwon Bluewings,Jeonbuk Motors,3.00,3.00,2.25
