Home_Team,Away_Team,Home_win,Draw,Away_win
Suwon,Suwon Bluewings,2.14,3.44,3.34
Ulsan,Daegu,1.74,3.88,4.42
Jeonbuk Motors,Jeju United,1.89,3.70,3.86
Gwangju,Incheon United,2.15,3.20,3.20
Gangwon,Seongnam,2.05,3.20,3.45
Pohang Steelers,FC Seoul,2.22,3.20,3.06
FC Seoul,Gangwon,2.20,3.00,3.00
Incheon United,Pohang Steelers,3.10,3.00,2.20
Suwon Bluewings,Ulsan,4.80,3.40,1.67
Daegu,Jeonbuk Motors,3.40,3.25,1.95
Seongnam,Gwangju,2.08,3.10,3.40
Jeju United,Suwon,1.86,3.40,3.70
Daegu,Suwon Bluewings,2.26,3.30,3.20
Ulsan,Jeju United,1.83,3.64,4.18
Suwon,Jeonbuk Motors,3.68,3.64,1.95
FC Seoul,Seongnam,2.33,3.05,3.10
Gangwon,Incheon United,2.00,3.10,3.50
Pohang Steelers,Gwangju,1.80,3.20,4.20
Jeonbuk Motors,Ulsan,2.40,3.25,2.83
Suwon,Daegu,2.55,3.20,2.60
Jeju United,Suwon Bluewings,2.12,3.10,3.40
Seongnam,Incheon United,1.97,3.02,3.78
Pohang Steelers,Gangwon,2.02,3.26,3.30
Gwangju,FC Seoul,2.80,3.06,2.36
Gwangju,Gangwon,2.70,3.30,2.80
Ulsan,Suwon,1.75,3.87,4.52
Daegu,Jeju United,2.47,3.35,2.88
Seongnam,Pohang Steelers,2.92,2.92,2.34
Suwon Bluewings,Jeonbuk Motors,3.52,3.12,2.11
Incheon United,FC Seoul,3.07,3.10,2.31
Seongnam,Ulsan,4.20,3.40,1.80
Pohang Steelers,Incheon United,1.83,3.20,4.00
Suwon,Gwangju,2.45,3.20,2.63
Gangwon,FC Seoul,2.45,3.20,2.70
Jeju United,Jeonbuk Motors,3.00,3.20,2.20
Daegu,Suwon Bluewings,2.50,3.00,2.80
Gangwon,Gwangju,1.97,3.30,3.60
Gangwon,Jeju United,2.80,3.20,2.40
Incheon United,Gangwon,2.80,3.20,2.45
FC Seoul,Daegu,2.77,3.28,2.28
Gwangju,Pohang Steelers,2.90,3.27,2.20
Jeju United,Seongnam,1.95,3.18,3.62
Incheon United,Suwon Bluewings,3.20,2.90,2.45
Suwon,Ulsan,3.40,3.40,2.10
Gangwon,Jeonbuk Motors,3.75,3.30,2.00
Gangwon,Pohang Steelers,2.85,3.07,2.43
Seongnam,Gangwon,2.45,3.10,2.85
Suwon Bluewings,FC Seoul,2.20,3.10,3.30
Jeonbuk Motors,Incheon United,1.48,4.20,6.00
Daegu,Suwon,2.10,3.40,3.40
Ulsan,Gwangju,1.44,4.30,6.50
Pohang Steelers,Jeju United,2.40,3.10,2.90
FC Seoul,Incheon United,2.35,3.20,2.72
Suwon,Seongnam,2.20,3.10,3.30
Jeju United,Daegu,2.50,3.10,2.75
Pohang Steelers,Ulsan,3.09,3.46,2.30
Gwangju,Jeonbuk Motors,5.00,3.65,1.65
Suwon Bluewings,Gangwon,2.40,2.95,3.05
FC Seoul,Suwon,2.65,3.20,2.50
Incheon United,Seongnam,2.70,2.90,2.75
Daegu,Ulsan,3.00,3.25,2.30
Gwangju,Jeju United,3.30,2.90,2.30
Jeonbuk Motors,Suwon Bluewings,1.67,3.60,4.90
Suwon,Gangwon,2.15,3.25,3.20
Seongnam,FC Seoul,2.70,2.85,2.75
Suwon Bluewings,Gwangju,2.24,3.30,3.36
Incheon United,Jeju United,2.05,3.45,2.50
Ulsan,Jeonbuk Motors,2.25,3.25,3.00
Pohang Steelers,Daegu,2.50,2.95,2.90
FC Seoul,Jeonbuk Motors,4.00,3.54,1.90
Seongnam,Daegu,3.00,3.00,2.20
Jeonbuk Motors,Pohang Steelers,2.03,3.17,3.55
Jeju United,FC Seoul,2.10,3.20,3.45
Ulsan,Incheon United,1.42,4.60,6.75
Jeonbuk Motors,Suwon,1.80,3.70,3.90
Daegu,Seongnam,2.08,3.01,3.15
Pohang Steelers,Suwon Bluewings,2.07,3.05,3.14
Suwon Bluewings,Suwon,2.32,2.91,2.98
FC Seoul,Ulsan,4.52,2.86,1.85
Incheon United,Daegu,3.42,3.25,1.96
Jeonbuk Motors,Pohang Steelers,1.95,3.18,3.53
Gwangju,Seongnam,2.67,2.89,2.64
Ulsan,Suwon Bluewings,2.09,3.11,3.26
FC Seoul,Pohang Steelers,2.71,2.92,2.51
Suwon,Jeju United,2.40,2.90,3.05
Seongnam,Jeonbuk Motors,3.60,3.40,2.18
Daegu,Gwangju,1.91,3.20,3.80
FC Seoul,Jeju United,2.91,3.14,2.58
Incheon United,Seongnam,2.50,3.14,3.05
Gwangju,Incheon United,2.48,3.22,2.98
Pohang Steelers,Suwon,2.10,3.30,3.35
Jeonbuk Motors,FC Seoul,1.65,3.90,5.35
Suwon Bluewings,Seongnam,2.00,3.00,3.90
Jeju United,Ulsan,3.25,3.05,2.20
Gangwon,Daegu,2.80,3.35,2.55
Jeonbuk Motors,Gwangju,1.53,4.33,6.00
Incheon United,Suwon,2.55,3.25,2.50
FC Seoul,Gwangju,2.15,3.10,3.20
Suwon Bluewings,Jeju United,2.41,3.23,2.94
Ulsan,Gangwon,1.59,3.84,5.72
Seongnam,Pohang Steelers,3.09,3.17,2.34
Jeonbuk Motors,Daegu,2.20,3.25,3.30
Suwon,Jeonbuk Motors,3.75,3.50,1.95
Pohang Steelers,Seongnam,1.95,3.25,4.00
Ulsan,Daegu,1.90,3.40,4.10
Gangwon,Suwon Bluewings,2.82,3.20,2.61
Daegu,Pohang Steelers,2.46,3.40,2.90
Gwangju,Seongnam,2.75,3.10,2.76
