Home_Team,Away_Team,Home_win,Draw,Away_win
Daegu,FC Seoul,2.15,3.40,3.15
Jeonbuk Motors,Gangwon,1.33,5.05,8.00
Ulsan,Pohang Steelers,1.95,3.45,3.70
Gyeongnam,Incheon United,2.35,3.35,2.85
Seongnam,Jeju United,2.45,3.30,2.75
Sangju Sangmu,Suwon Bluewings,2.75,3.20,2.50
Jeju United,Suwon Bluewings,2.15,3.40,3.10
Incheon United,Sangju Sangmu,2.10,3.35,3.25
Seongnam,Gyeongnam,2.75,3.05,2.60
Ulsan,Jeonbuk Motors,2.90,3.40,2.30
FC Seoul,Pohang Steelers,2.30,3.20,3.05
Gangwon,Daegu,2.85,3.30,2.35
Daegu,Jeonbuk Motors,3.20,3.20,2.20
FC Seoul,Ulsan,2.75,3.40,2.35
Pohang Steelers,Gangwon,2.00,3.40,3.45
Gyeongnam,Sangju Sangmu,2.20,3.30,3.20
Jeju United,Incheon United,2.20,3.45,3.05
Suwon Bluewings,Seongnam,2.35,2.95,3.15
Incheon United,Suwon Bluewings,2.90,3.35,2.30
Gyeongnam,Jeju United,2.45,3.30,2.70
Sangju Sangmu,Seongnam,2.35,3.00,3.15
Ulsan,Gangwon,1.87,3.50,3.90
Jeonbuk Motors,FC Seoul,1.51,4.20,5.70
Pohang Steelers,Daegu,2.35,3.20,2.90
Daegu,Ulsan,2.75,3.30,2.45
Jeonbuk Motors,Pohang Steelers,1.91,3.40,3.90
Gangwon,FC Seoul,2.50,3.35,2.65
Sangju Sangmu,Jeju United,2.55,3.25,2.65
Seongnam,Incheon United,2.35,3.00,3.15
Suwon Bluewings,Gyeongnam,2.00,3.50,3.50
Pohang Steelers,Ulsan,2.85,3.30,2.35
Incheon United,Jeonbuk Motors,5.85,4.25,1.50
Jeju United,Gyeongnam,2.30,3.45,2.90
Suwon Bluewings,FC Seoul,2.35,3.20,2.95
Seongnam,Daegu,3.65,2.95,2.15
Sangju Sangmu,Gangwon,2.80,3.40,2.35
Gyeongnam,Jeonbuk Motors,6.00,4.60,1.43
Ulsan,Gangwon,1.67,3.85,4.60
Gyeongnam,Pohang Steelers,3.05,3.45,2.20
FC Seoul,Sangju Sangmu,1.83,3.65,3.90
Gangwon,Incheon United,1.83,3.60,3.95
Jeonbuk Motors,Suwon Bluewings,1.57,4.10,5.10
Daegu,Jeju United,1.77,3.50,4.35
Ulsan,Seongnam,1.43,4.20,7.00
Seongnam,Gangwon,3.20,3.15,2.25
FC Seoul,Gyeongnam,1.95,3.55,3.55
Suwon Bluewings,Ulsan,3.60,3.55,1.95
Sangju Sangmu,Incheon United,2.05,3.30,3.55
Jeonbuk Motors,Daegu,1.61,3.75,5.35
Pohang Steelers,Jeju United,2.00,3.35,3.60
Incheon United,Daegu,4.15,3.40,1.87
Suwon Bluewings,Sangju Sangmu,2.00,3.35,3.65
Jeju United,Seongnam,2.35,3.10,3.05
Pohang Steelers,FC Seoul,2.25,3.30,3.10
Seongnam,Suwon Bluewings,3.00,3.05,2.40
FC Seoul,Incheon United,1.91,3.40,4.00
Gangwon,Jeju United,1.87,3.60,3.80
Daegu,Pohang Steelers,2.25,3.10,2.95
Jeonbuk Motors,Sangju Sangmu,1.34,4.65,7.25
Gyeongnam,Ulsan,3.60,3.65,1.83
FC Seoul,Jeonbuk Motors,3.70,3.75,1.87
Sangju Sangmu,Daegu,2.95,3.15,2.35
Incheon United,Ulsan,5.45,3.95,1.57
Gangwon,Gyeongnam,2.00,3.70,3.35
