Home_Team,Away_Team,Home_win,Draw,Away_win
Pohang Steelers,Ulsan,2.55,3.25,2.65
Suwon Bluewings,Jeju United,2.30,3.20,3.05
Jeonbuk Motors,Gyeongnam,1.44,4.40,6.25
Incheon United,Jeonnam Dragons,1.74,3.55,4.55
Sangju Sangmu,FC Seoul,2.90,3.20,2.40
Gangwon,Daegu,1.95,3.60,3.50
Pohang Steelers,Jeonbuk Motors,3.55,3.50,1.95
Ulsan,Jeju United,1.74,3.50,4.60
Gyeongnam,Suwon Bluewings,2.55,3.30,2.60
Jeonnam Dragons,Daegu,2.50,3.40,2.60
Sangju Sangmu,Gangwon,2.15,3.45,3.15
FC Seoul,Incheon United,2.15,3.40,3.20
FC Seoul,Jeonnam Dragons,1.74,3.90,4.10
Daegu,Sangju Sangmu,2.15,3.35,3.15
Gyeongnam,Pohang Steelers,2.40,3.35,2.75
Jeju United,Jeonbuk Motors,4.30,3.60,1.77
Gangwon,Incheon United,2.35,3.45,2.75
Suwon Bluewings,Ulsan,2.80,3.30,2.40
Suwon Bluewings,Pohang Steelers,2.05,3.30,3.45
Gangwon,Jeonnam Dragons,2.10,3.35,3.25
Daegu,FC Seoul,2.45,3.20,2.80
Jeonbuk Motors,Ulsan,1.69,3.70,4.75
Incheon United,Sangju Sangmu,2.45,3.15,2.85
Jeju United,Gyeongnam,2.15,3.20,3.30
Ulsan,Gyeongnam,1.87,3.60,3.85
Jeonbuk Motors,Suwon Bluewings,1.53,4.15,5.60
Incheon United,Daegu,2.40,3.35,2.80
Jeonnam Dragons,Sangju Sangmu,2.15,3.40,3.20
FC Seoul,Gangwon,2.20,3.25,3.15
Pohang Steelers,Jeju United,2.45,3.25,2.75
Suwon Bluewings,Pohang Steelers,2.50,3.15,2.80
Jeonbuk Motors,Incheon United,1.39,4.95,6.40
Jeju United,FC Seoul,2.20,3.05,3.40
Ulsan,Gangwon,2.00,3.65,3.25
Daegu,Jeonnam Dragons,2.05,3.50,3.35
Gyeongnam,Sangju Sangmu,2.00,3.50,3.45
Ulsan,Jeonbuk Motors,3.75,3.60,1.87
Gyeongnam,Jeju United,2.35,3.30,2.90
Sangju Sangmu,Suwon Bluewings,3.30,3.20,2.15
Jeonnam Dragons,FC Seoul,2.90,3.45,2.25
Daegu,Incheon United,1.77,3.80,4.10
Gangwon,Pohang Steelers,2.35,3.35,2.80
Incheon United,Gyeongnam,3.20,3.15,2.25
Pohang Steelers,Daegu,2.85,3.20,2.40
FC Seoul,Sangju Sangmu,1.95,3.40,3.75
Jeju United,Jeonnam Dragons,2.05,3.40,3.40
Jeonbuk Motors,Gangwon,1.39,4.60,6.95
Suwon Bluewings,Ulsan,3.00,3.25,2.30
Jeonbuk Motors,Jeonnam Dragons,1.29,5.45,8.25
FC Seoul,Incheon United,2.05,3.35,3.40
Ulsan,Jeju United,1.95,3.40,3.75
