Home_Team,Away_Team,Home_win,Draw,Away_win
Incheon United,Jeonbuk Motors,2.75,3.00,2.60
Daegu,Ulsan,3.25,3.50,2.00
Suwon,FC Seoul,3.00,3.15,2.20
Daejeon Citizen,Sangju Sangmu,2.90,3.05,2.35
Ulsan,Jeju United,1.92,2.02,10.13
Jeonbuk Motors,Daegu,1.66,3.02,5.65
Pohang Steelers,Incheon United,2.04,3.08,3.17
Sangju Sangmu,Gangwon,4.93,1.39,5.26
Gwangju,Suwon,1.58,4.56,3.87
Daejeon Citizen,FC Seoul,2.80,3.30,2.50
Daegu,Daejeon Citizen,2.05,3.40,3.50
Gangwon,Incheon United,2.65,3.00,2.75
FC Seoul,Jeonbuk Motors,2.75,3.20,2.70
Pohang Steelers,Sangju Sangmu,1.90,3.70,4.30
Suwon,Jeju United,2.75,3.45,2.70
Incheon United,Daegu,2.31,3.20,3.30
Suwon,Daejeon Citizen,2.70,3.50,2.70
Ulsan,Gangwon,1.62,3.70,4.40
Jeju United,Sangju Sangmu,2.23,3.05,2.95
FC Seoul,Pohang Steelers,2.32,3.10,2.80
Jeonbuk Motors,Gwangju,1.94,3.15,3.60
Daejeon Citizen,Pohang Steelers,2.80,3.20,2.38
Daegu,FC Seoul,2.50,3.00,2.80
Jeonbuk Motors,Gangwon,1.83,3.40,4.00
Sangju Sangmu,Gwangju,2.40,3.30,2.75
Incheon United,Jeju United,2.15,3.25,3.25
Ulsan,Suwon,1.60,4.00,5.00
FC Seoul,Sangju Sangmu,2.05,3.05,3.15
Gwangju,Incheon United,2.15,2.98,3.00
Jeju United,Jeonbuk Motors,3.10,3.00,2.10
Gangwon,Daegu,2.48,2.97,2.55
Daejeon Citizen,Ulsan,4.10,3.50,1.85
Pohang Steelers,Suwon,1.73,3.80,4.20
Gwangju,Daegu,2.20,3.25,3.20
Gangwon,FC Seoul,2.62,3.20,2.62
Suwon,Sangju Sangmu,2.36,3.30,2.84
Jeju United,Pohang Steelers,2.36,3.25,2.85
Incheon United,Daejeon Citizen,2.04,3.50,3.30
Jeonbuk Motors,Ulsan,2.43,3.35,2.72
Ulsan,Incheon United,1.90,3.30,3.45
Pohang Steelers,Gwangju,2.63,3.10,2.70
Sangju Sangmu,Jeonbuk Motors,3.13,3.25,2.30
FC Seoul,Jeju United,2.30,3.20,2.85
Daegu,Suwon,2.10,3.20,3.30
Daejeon Citizen,Gangwon,2.25,3.05,3.15
Gwangju,Gangwon,2.05,3.10,4.20
FC Seoul,Incheon United,2.15,3.35,3.45
Jeju United,Daejeon Citizen,2.10,3.50,3.50
Sangju Sangmu,Ulsan,3.28,3.54,2.15
Pohang Steelers,Daegu,2.10,3.20,3.50
Suwon,Jeonbuk Motors,3.70,3.30,1.95
Daegu,Sangju Sangmu,1.95,3.30,3.90
Gangwon,Jeju United,2.37,2.90,2.80
Incheon United,Suwon,1.91,3.40,3.30
Gwangju,FC Seoul,2.15,3.10,3.00
Jeonbuk Motors,Daejeon Citizen,1.80,3.75,4.20
Ulsan,Pohang Steelers,1.83,3.60,4.00
