Home_Team,Away_Team,Home_win,Draw,Away_win
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Gwangju,Sangju Sangmu,,,
Pohang Steelers,Daejeon Citizen,,,
FC Seoul,Gwangju,2.42,3.33,2.55
Jeju United,Gangwon,2.33,3.32,2.67
Daejeon Citizen,Daegu,2.32,3.32,2.68
Sangju Sangmu,Pohang Steelers,2.66,3.24,2.70
Suwon,Incheon United,2.89,3.44,2.39
Ulsan,Jeonbuk Motors,1.80,4.05,3.96
Incheon United,Ulsan,3.15,3.35,2.41
Daejeon Citizen,Jeju United,2.39,3.45,3.15
Suwon,Daegu,2.37,3.50,3.10
Gangwon,Jeonbuk Motors,2.70,3.40,2.75
Sangju Sangmu,FC Seoul,2.15,3.25,3.25
Gwangju,Pohang Steelers,2.30,3.20,3.00
Jeju United,Suwon,2.40,3.40,2.63
Daegu,Gangwon,2.50,3.00,2.80
Incheon United,Gwangju,2.39,2.90,2.72
Pohang Steelers,FC Seoul,2.02,3.09,3.22
Ulsan,Daejeon Citizen,1.71,3.82,4.48
Jeonbuk Motors,Sangju Sangmu,2.01,3.40,3.20
Suwon,Pohang Steelers,2.63,3.30,2.40
FC Seoul,Daegu,2.06,3.25,3.30
Gangwon,Ulsan,3.25,3.35,2.02
Gwangju,Jeonbuk Motors,2.35,3.10,2.85
Sangju Sangmu,Jeju United,1.93,3.20,3.30
Daejeon Citizen,Incheon United,2.75,3.00,2.29
Gwangju,Ulsan,3.10,3.10,2.25
Pohang Steelers,Jeju United,1.75,3.40,4.40
Ulsan,Sangju Sangmu,1.65,3.75,5.25
Jeonbuk Motors,Suwon,1.70,3.80,4.20
Gangwon,Daejeon Citizen,2.05,3.00,3.30
Daegu,Gwangju,2.75,3.00,2.38
Incheon United,FC Seoul,2.20,3.13,2.90
Gwangju,Daejeon Citizen,1.85,3.25,3.80
Jeju United,Daegu,2.40,2.88,2.88
Sangju Sangmu,Incheon United,2.35,3.10,2.97
Suwon,Gangwon,2.50,3.20,2.68
Pohang Steelers,Jeonbuk Motors,2.60,2.90,2.60
FC Seoul,Ulsan,2.75,3.20,2.25
Gangwon,Pohang Steelers,3.00,3.00,2.45
Jeju United,Gwangju,2.62,3.00,2.75
